Date,time2,Burst_average,Surface,Transmission,Noon_percent,Kd_PAR,Noon_Kd,time
unitless,unitless,umol photons per square meter per second,umol photons per square meter per second,percent,percent,umol photons per square meter per second,umol photons per square meter per second,UTC
2014-08-23,0:00:00,0,1,12.5,NaN,0.109,NaN,2014-08-23T00:00:00Z
2014-08-23,1:30:00,0,1,10.8,NaN,0.116,NaN,2014-08-23T01:30:00Z
2014-08-23,3:00:00,0,1,11.7,NaN,0.112,NaN,2014-08-23T03:00:00Z
2014-08-23,4:30:00,0,1,11.7,NaN,0.112,NaN,2014-08-23T04:30:00Z
2014-08-23,6:00:00,1,1,55.2,NaN,0.031,NaN,2014-08-23T06:00:00Z
2014-08-23,7:30:00,60,476,12.7,NaN,0.108,NaN,2014-08-23T07:30:00Z
2014-08-23,9:00:00,155,866,17.9,NaN,0.09,NaN,2014-08-23T09:00:00Z
2014-08-23,10:30:00,149,1756,8.5,NaN,0.129,NaN,2014-08-23T10:30:00Z
2014-08-23,12:00:00,324,2554,12.7,10.5,0.108,0.119,2014-08-23T12:00:00Z
2014-08-23,13:30:00,186,1796,10.3,NaN,0.119,NaN,2014-08-23T13:30:00Z
2014-08-23,15:00:00,90,741,12.2,NaN,0.11,NaN,2014-08-23T15:00:00Z
2014-08-23,16:30:00,68,836,8.1,NaN,0.132,NaN,2014-08-23T16:30:00Z
2014-08-23,18:00:00,8,89,9.3,NaN,0.124,NaN,2014-08-23T18:00:00Z
2014-08-23,19:30:00,0,1,11.7,NaN,0.112,NaN,2014-08-23T19:30:00Z
2014-08-23,21:00:00,0,1,11.7,NaN,0.112,NaN,2014-08-23T21:00:00Z
2014-08-23,22:30:00,0,1,10.8,NaN,0.116,NaN,2014-08-23T22:30:00Z
2014-08-24,0:00:00,0,1,10.8,NaN,0.116,NaN,2014-08-24T00:00:00Z
2014-08-24,1:30:00,0,1,11.7,NaN,0.112,NaN,2014-08-24T01:30:00Z
2014-08-24,3:00:00,0,1,10.0,NaN,0.121,NaN,2014-08-24T03:00:00Z
2014-08-24,4:30:00,0,1,9.2,NaN,0.125,NaN,2014-08-24T04:30:00Z
2014-08-24,6:00:00,1,6,22.1,NaN,0.079,NaN,2014-08-24T06:00:00Z
2014-08-24,7:30:00,47,254,18.5,NaN,0.088,NaN,2014-08-24T07:30:00Z
2014-08-24,9:00:00,185,1144,16.1,NaN,0.096,NaN,2014-08-24T09:00:00Z
2014-08-24,10:30:00,318,1959,16.2,NaN,0.095,NaN,2014-08-24T10:30:00Z
2014-08-24,12:00:00,263,1714,15.3,15.7,0.098,0.097,2014-08-24T12:00:00Z
2014-08-24,13:30:00,332,2134,15.6,NaN,0.097,NaN,2014-08-24T13:30:00Z
2014-08-24,15:00:00,224,1706,13.1,NaN,0.106,NaN,2014-08-24T15:00:00Z
2014-08-24,16:30:00,109,811,13.4,NaN,0.105,NaN,2014-08-24T16:30:00Z
2014-08-24,18:00:00,31,239,12.9,NaN,0.107,NaN,2014-08-24T18:00:00Z
2014-08-24,19:30:00,0,1,10.8,NaN,0.116,NaN,2014-08-24T19:30:00Z
2014-08-24,21:00:00,0,1,12.5,NaN,0.109,NaN,2014-08-24T21:00:00Z
2014-08-24,22:30:00,0,1,11.7,NaN,0.112,NaN,2014-08-24T22:30:00Z
2014-08-25,0:00:00,0,1,11.8,NaN,0.112,NaN,2014-08-25T00:00:00Z
2014-08-25,1:30:00,0,1,10.8,NaN,0.116,NaN,2014-08-25T01:30:00Z
2014-08-25,3:00:00,0,1,10.0,NaN,0.121,NaN,2014-08-25T03:00:00Z
2014-08-25,4:30:00,0,1,12.5,NaN,0.109,NaN,2014-08-25T04:30:00Z
2014-08-25,6:00:00,1,6,22.9,NaN,0.077,NaN,2014-08-25T06:00:00Z
2014-08-25,7:30:00,54,606,9.0,NaN,0.126,NaN,2014-08-25T07:30:00Z
2014-08-25,9:00:00,163,1246,13.1,NaN,0.107,NaN,2014-08-25T09:00:00Z
2014-08-25,10:30:00,221,2254,9.8,NaN,0.122,NaN,2014-08-25T10:30:00Z
2014-08-25,12:00:00,350,2081,16.8,13.7,0.093,0.105,2014-08-25T12:00:00Z
2014-08-25,13:30:00,318,2191,14.5,NaN,0.101,NaN,2014-08-25T13:30:00Z
2014-08-25,15:00:00,188,1879,10.0,NaN,0.12,NaN,2014-08-25T15:00:00Z
2014-08-25,16:30:00,90,1034,8.7,NaN,0.128,NaN,2014-08-25T16:30:00Z
2014-08-25,18:00:00,19,111,16.9,NaN,0.093,NaN,2014-08-25T18:00:00Z
2014-08-25,19:30:00,0,1,9.2,NaN,0.125,NaN,2014-08-25T19:30:00Z
2014-08-25,21:00:00,0,1,9.2,NaN,0.125,NaN,2014-08-25T21:00:00Z
2014-08-25,22:30:00,0,1,10.0,NaN,0.121,NaN,2014-08-25T22:30:00Z
2014-08-26,0:00:00,0,1,9.2,NaN,0.125,NaN,2014-08-26T00:00:00Z
